,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
2340,In what city was john chanter born,['John Chanter'],['John_Chanter'],"['John_Chanter', 'John_Wick:_Chapter_3_–_Parabellum', 'John_Winthrop_Chanler', 'John_Wick:_Chapter_2', 'Phoenix,_Arizona', 'John_Wick', 'John_W._Chater', 'John_the_Chanter', 'John_Wick_(film)', 'John_Adrian_Chamier']",['John_Chanter'],['John_Chanter'],['John_Chanter'],['John_Chanter'],"['City', 'John_Chanter']"
2341,which story did dick huemer contribute in,['Dick Huemer'],['Dick_Huemer'],"['Dick_Huemer', ""Der_Fuehrer's_Face"", 'Fantasia_(1940_film)', 'Toby_the_Pup', 'Good_Time_Guy', 'Lonesome_Ghosts', 'The_Whalers', 'Scrappy', 'The_Wise_Little_Hen']",['Dick_Huemer'],['Dick_Huemer'],['Dick_Huemer'],['Dick_Huemer'],['Dick_Huemer']
2342,What country is arturo ledesma from?,['Arturo Ledesma'],['Arturo_Ledesma'],['Arturo_Ledesma'],['Arturo_Ledesma'],['Arturo_Ledesma'],['Arturo_Ledesma'],['Arturo_Ledesma'],[]
2343,Who wrote you only live twice,['You Only Live Twice (film)'],['You_Only_Live_Twice_(film)'],"['You_Only_Live_Twice_(film)', 'Donald_Pleasence', 'Lewis_Gilbert', 'Tetsurō_Tamba', 'Charles_Gray_(actor)', 'Wallis_WA-116_Agile', '1967_in_film', 'Michael_Reed_(cinematographer)', 'Tracy_Bond', 'Dr._Evil']",['You_Only_Live_Twice_(film)'],['You_Only_Live_Twice_(film)'],['You_Only_Live_Twice_(film)'],['You_Only_Live_Twice_(film)'],[]
2344,Which language is the tv program la job in,['La Job'],['La_Job'],"['La_Job', 'Job_Control_Language', 'Employment', 'Unemployment', 'Employment_agency', 'Printer_Job_Language', 'No_Job_for_a_Lady', 'Fashion_design', 'Occupational_safety_and_health', 'Joe_Dassin_(La_Fleur_aux_dents)']",['La_Job'],['La_Job'],['La_Job'],['La_Job'],"['Language', 'La_Job']"
2345,Who was born in motherwell?,['Motherwell'],['Motherwell'],"['Motherwell_F.C.', 'Motherwell', 'Motherwell_F.C._Under-20s_and_Academy', 'Motherwell_L.F.C.', 'Robert_Motherwell', 'Roman_Catholic_Diocese_of_Motherwell', 'William_Richard_Motherwell', '2010–11_Motherwell_F.C._season', '2009–10_Motherwell_F.C._season', '2006–07_Motherwell_F.C._season']",['Motherwell'],['Motherwell'],['Motherwell'],['Motherwell'],['Motherwell_F.C.']
2346,which company produced shrek the third?,['Shrek the Third'],['Shrek_the_Third'],"['Shrek_the_Third', 'List_of_songs_featured_in_Shrek', 'Shrek_the_Third_(video_game)', 'Battle_of_the_Shaer_gas_field_(2016)', 'Dominican_Republic', 'This_Is_the_Third_Album_of_a_Band_Called_Adebisi_Shank', 'Shrek_(franchise)', 'Puss_in_Boots_(Shrek)', 'AFC_Wimbledon', 'Bertelsmann_Music_Group']",['Shrek_the_Third'],['Shrek_the_Third'],['Shrek_the_Third'],['Shrek_the_Third'],['Shrek']
2347,Which label is julie roberts apart of,['Julie Roberts'],['Julie_Roberts'],"['Julia_Roberts', 'Julie_Roberts', 'List_of_awards_and_nominations_received_by_Julia_Roberts', 'List_of_The_O.C._characters', 'Shooting_of_Daniel_Rocha', 'Julia_Roberts_(soccer)', 'List_of_Survivor_(American_TV_series)_contestants', 'Knots_Landing', 'Juliet_Roberts', 'Julie_Roberts_(album)']",['Julie_Roberts'],['Julie_Roberts'],['Julie_Roberts'],['Julie_Roberts'],['Julie_Roberts']
2348,what type of music does steve bailey make,['Steve Bailey'],['Steve_Bailey'],"['Steven_W._Bailey', 'Steve_Bailey', 'Steve_Backley', 'Steven_Bailey', 'List_of_Marvel_Comics_characters:_G', 'Barbara_Bailey', 'Steven_Bayley', 'Kennesaw_State_Owls', 'List_of_Jericho_characters', 'List_of_recurring_The_Simpsons_characters']",['Steve_Bailey'],['Steve_Bailey'],['Steve_Bailey'],['Steve_Bailey'],['Steve_Bailey']
2349,Where was isidro b. maiztegui's place of death?,['Isidro B. Maiztegui'],['Isidro_B._Maiztegui'],['Isidro_B._Maiztegui'],['Isidro_B._Maiztegui'],['Isidro_B._Maiztegui'],['Isidro_B._Maiztegui'],['Isidro_B._Maiztegui'],['Laura_Maiztegui']
2350,what is the production company of the outside chance of maximilian glick?,['The Outside Chance of Maximilian Glick'],['The_Outside_Chance_of_Maximilian_Glick'],"['The_Outside_Chance_of_Maximilian_Glick', 'Phil_Savath', 'Max_Glick', 'Morley_Torgov']",['The_Outside_Chance_of_Maximilian_Glick'],['The_Outside_Chance_of_Maximilian_Glick'],['The_Outside_Chance_of_Maximilian_Glick'],['The_Outside_Chance_of_Maximilian_Glick'],['Maximilian_I_of_Mexico']
2351,What label is psychefunkapus2 signed to,['Psychefunkapus'],['Psychefunkapus'],"['Psychefunkapus', 'Atom_Ellis']",['Psychefunkapus'],['Psychefunkapus'],['Psychefunkapus'],['Psychefunkapus'],[]
2352,Name a model (person).,['Model (people)'],['Model_(people)'],"['Model_(person)', 'Kurgan_hypothesis', 'People_Capability_Maturity_Model', 'We_Were_Dead_Before_the_Ship_Even_Sank', 'Jeremy_McKinnon', 'List_of_Sex_and_the_City_episodes', 'List_of_Brazilians', 'List_of_scale-model_industry_people', 'Pyramid_scheme', 'The_Nuer']",['Model_(person)'],['Model_(person)'],['Model_(person)'],['Model_(person)'],['Model_(person)']
2353,Where did johannes pääsuke pass away?,['Johannes Paasuke'],['Johannes_Pääsuke'],"['Johannes_Pääsuke', 'Jolly_Kramer-Johansen']",['Johannes_Pääsuke'],['Johannes_Pääsuke'],['Johannes_Pääsuke'],['Johannes_Pääsuke'],['Johannes_Pääsuke']
2354,name a professional film director.,['Film director'],['Film_director'],"['Film_director', 'Animator', 'Héctor_Olivera_(film_director)', 'Henry_Edwards_(actor)', 'Anurag_Kashyap', 'T._R._Ramanna', 'Aleksandar_Petrović_(film_director)', 'John_Ford', 'Madan_(film_director)', 'George_King_(film_director)']",['Film_director'],['Film_director'],['Film_director'],['Film_director'],['Film_director']
2355,Which position did bill windle play?,['Bill Windle'],['Bill_Windle'],"['Bill_Windle', 'Billy_Windle', 'List_of_Survivor_(American_TV_series)_contestants', 'Bill_Windley', 'Dean_Corll', 'Wee_Willie_Winkie', 'Bob_Ogle', 'The_Golden_Palominos', 'Vanilla_Ice', 'News_for_Lulu']",['Bill_Windle'],['Bill_Windle'],['Bill_Windle'],['Bill_Windle'],['Bill_Windle']
2356,which cinematographer was born in poland,['Poland'],['Poland'],"['Poland', 'Greater_Poland_Voivodeship', 'Poland_national_football_team', 'Lesser_Poland_Voivodeship', 'Gmina', 'Warsaw', 'Congress_Poland', 'Invasion_of_Poland', 'Poland_national_under-19_football_team', 'Poland_national_under-21_football_team']",['Poland'],['Poland'],['Poland'],"['Poland', 'Warsaw']",['Cinematographer']
2357,what is khaled habib el kebich's sex?,['Khaled Habib'],['Khaled_Habib'],"['Khaled_Habib_Al-Waheebi', 'Khaled_Habib', 'Khalid_Habib', 'Khalid_ibn_Abi_Habib_al-Fihri', 'Khalid_al-Habib', 'Names_of_God_in_Islam', 'Khalid_Mobarak_Habeeb-Allah_Alqurashi', 'List_of_Shantaram_characters', ""Rab'ia_ibn_Umayah"", '19_January_2006_Osama_bin_Laden_tape']",['Khaled_Habib'],['Khaled_Habib'],['Khaled_Habib'],['Khaled_Habib'],['Khaled_Habib']
2358,where was tommy shannon born,['Tommy Shannon'],['Tommy_Shannon'],"['Tommy_Shannon', 'Thomas_Shannon_(rugby_league)', 'Shannon_Larkin', 'Arc_Angels', 'Double_Trouble_(band)', 'Storyville_(band)', 'Chris_Layton', 'Shannon_hydroelectric_scheme', 'European_Tour_(Stevie_Ray_Vaughan_tour)', 'James_Lawrence']",['Tommy_Shannon'],['Tommy_Shannon'],['Tommy_Shannon'],['Tommy_Shannon'],['Tommy_Shannon']
2359,What gender is peter x. kelly.,['Peter X. Kelly'],['Peter_X._Kelly'],"['List_of_Degrassi:_The_Next_Generation_characters', 'Peter_X._Kelly', 'List_of_minor_planets:_4001–5000', 'List_of_minor_planets:_28001–29000', 'List_of_minor_planets:_30001–31000', ""I'm_Right_Here_(EP)"", 'Peter_Quinlan', 'Lights,_Camera,_Action!', 'Lab_Rats_(American_TV_series)', 'Lab_Rats:_Elite_Force']",['Peter_X._Kelly'],['Peter_X._Kelly'],['Peter_X._Kelly'],['Peter_X._Kelly'],['Gender']
2360,in what german city did hermann beckh die,['Hermann Beckh'],['Hermann_Beckh'],"['Hermann_Beckh', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(Ba–Bm)"", 'Hermann_Becker', 'Hermann_Becht', 'Hermann_Becker-Freyseng', 'Hermann_Heinrich_Becker', 'Bartlit_Beck_Herman_Palenchar_&_Scott', 'Herman_Beach', 'Oheka_Castle', 'Georg_Aenotheus_Koch']",[],[],['Hermann_Becker'],['Hermann_Becker'],"['City', 'Hermann_Beckh']"
2361,what film is dan lausten given credit as cinematographer?,['Dan Laustsen'],['Dan_Laustsen'],"['Dan_Laustsen', 'Dan_Laursen', 'Caio_Mancha', 'Niklas_Laustsen', 'Dan_Ryan_Place,_California', 'Schmidt_Hammer_Lassen', 'Junior_Senior', 'Charles_Christian_Lauritsen', 'Jeppe_Laursen', 'Ulrik_Laursen']",['Dan_Laustsen'],['Dan_Laustsen'],['Dan_Laustsen'],['Dan_Laustsen'],['Cinematographer']
2362,who directed the tenth symphony?,['The Tenth Symphony'],['The_Tenth_Symphony'],"['The_Tenth_Symphony', 'Symphony_No._10', 'Aspen_Music_Festival_and_School', 'Curse_of_the_ninth', 'Symphony_No._9_(Mahler)', 'Bruce_Holder', 'Goodnight,_Ladies', 'Late_works_of_Franz_Liszt', 'Symphony_No._102_(Haydn)', 'Countdown_to_Extinction']",['The_Tenth_Symphony'],['The_Tenth_Symphony'],['The_Tenth_Symphony'],['The_Tenth_Symphony'],['Symphony_No._10_(Mahler)']
2363,what kind of music does tim armstrong play,['Tim Armstrong'],['Tim_Armstrong'],"['Tim_Armstrong', 'Tim_Armstrong_(politician)', 'Tim_Armstrong_(writer)', 'Tim_Armstrong_(disambiguation)', 'Tim_Armstrong_(cricketer)', ""A_Poet's_Life"", 'List_of_Neighbours_characters_(2001)', 'Tim_Armstrong_(executive)', 'List_of_Cars_characters', 'List_of_Oz_(TV_series)_characters']",['Tim_Armstrong'],['Tim_Armstrong'],['Tim_Armstrong'],['Tim_Armstrong'],['Tim_Armstrong']
2364,who wrote brazilian adventure,['Brazilian Adventure'],['Brazilian_Adventure'],"['Brazilian_Adventure', ""Wonder_Boy_III:_The_Dragon's_Trap"", 'Boy_and_the_World', 'Sagarana:_The_Duel', 'Worms_(film)', 'Naked_Amazon', 'The_Pilgrimage', 'Gaúcho_Negro', 'Eddy_Barrows', 'Sob_o_Céu_da_Bahia']",['Brazilian_Adventure'],['Brazilian_Adventure'],['Brazilian_Adventure'],['Brazilian_Adventure'],['Brazilian_Adventure']
2365,which band is signed by phantom records,['Phantom Records'],['Phantom_Records'],"['Phantom_Records', 'List_of_Courage_the_Cowardly_Dog_episodes', 'Storm_Data', 'Phantom_Blue', 'White_Whale_Records', 'Andrew_Lloyd_Webber', 'Phantom,_Rocker_&_Slick', 'Nicholas-Beazley_Pobjoy_Special', 'Alex_Greenwald', 'The_Phantom_Boyz']",['Phantom_Records'],['Phantom_Records'],['Phantom_Records'],['Phantom_Records'],['Phantom_Records']
2366,what genre of music does older (album) belong to?,['Older (album)'],['Older_(album)'],"['Older_(album)', 'Noah23', 'Shallou', 'Sugarcult', 'Metro_Station_(album)', 'The_Tokens', 'Lil_Rob', 'Dark_Moor', 'Sajjad_Ali', 'I_Think_My_Older_Brother_Used_to_Listen_to_Lagwagon']",['Older_(album)'],['Older_(album)'],['Older_(album)'],['Older_(album)'],['Older_(album)']
2367,Who was mihail sadoveanu influenced by,['Mihail Sadoveanu'],['Mihail_Sadoveanu'],"['Mihail_Sadoveanu', 'Pașcani', 'The_Hatchet_(novel)', 'List_of_public_schools_in_Chișinău', 'The_Last_Ball_in_November', 'Paul-Mihu_Sadoveanu', 'Corneliu_Moldovanu', 'Three_Holy_Hierarchs_Chapel', 'Mitrea_Cocor', 'Profira_Sadoveanu']",['Mihail_Sadoveanu'],['Mihail_Sadoveanu'],['Mihail_Sadoveanu'],['Mihail_Sadoveanu'],['Mihail_Sadoveanu']
2368,what is lucia siposová's nationality,['Lucia Siposova'],['Lucia_Siposová'],"['Lucia_Siposová', 'Guard_No._47']",['Lucia_Siposová'],['Lucia_Siposová'],['Lucia_Siposová'],['Lucia_Siposová'],['Lucia_Siposová']
2369,what kind of music is the album something wicked this way comes,['Something Wicked This Way Comes (Iced Earth album)'],['Something_Wicked_This_Way_Comes_(Iced_Earth_album)'],"['Something_Wicked_This_Way_Comes_(Iced_Earth_album)', 'Framing_Armageddon:_Something_Wicked_Part_1', 'Alive_in_Athens', 'Overture_of_the_Wicked']",['Something_Wicked_This_Way_Comes_(Iced_Earth_album)'],['Something_Wicked_This_Way_Comes_(Iced_Earth_album)'],['Something_Wicked_This_Way_Comes_(Iced_Earth_album)'],['Something_Wicked_This_Way_Comes_(Iced_Earth_album)'],[]
2370,What is a popular film by walt disney pictures,['Walt Disney Pictures'],['Walt_Disney_Pictures'],"['Walt_Disney_Pictures', 'Walt_Disney_Studios_Motion_Pictures', 'Disney_Television_Animation', 'Walt_Disney_Studios_(division)', 'List_of_Walt_Disney_Pictures_films', 'List_of_animation_studios_owned_by_The_Walt_Disney_Company', 'Pocahontas_(1995_film)', 'Enchanted_(video_game)', 'Return_to_Pride_Rock', 'Aladdin_(disambiguation)']",['Walt_Disney_Pictures'],['Walt_Disney_Pictures'],['Walt_Disney_Pictures'],['Walt_Disney_Pictures'],['Walt_Disney_Pictures']
2371,Where did artur pipan die?,['Artur Pipan'],['Artur_Pipan'],"[""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(P)"", 'Artur_Schnabel_Piano_Competition', ""Artur_Schnabel's_recordings_of_Beethoven's_piano_sonatas"", 'Arthur_(season_2)', 'Ferrante_&_Teicher', 'Arthur_Rubinstein_International_Piano_Master_Competition', 'Karl_Ulrich_Schnabel', 'Florence_Kirsch_Du_Brul', 'Adrian_Aeschbacher', 'Richard_Laugs']",['Adrian_Aeschbacher'],[],[],['Adrian_Aeschbacher'],[]
2372,What is maurice argent's profession?,['Maurice Argent'],['Maurice_Argent'],"['Maurice_Argent', 'Maurice_de_Hirsch', 'Lempor_ejector', '1955_Argentine_Grand_Prix', 'María_Belén_Pérez_Maurice', 'Jewish_Colonization_Association', 'Three_Versions_of_Judas', 'Villa_Clara,_Entre_Ríos', 'Kitty_Can', 'Moisés_Ville']",['Maurice_Argent'],['Maurice_Argent'],['Maurice_Argent'],['Maurice_Argent'],['Maurice_Argent']
2373,"what person was born in winter haven, florida?","['Winter Haven, Florida']","['Winter_Haven,_Florida']","['Winter_Haven,_Florida', 'Polk_County,_Florida', 'Lake_Howard_(Winter_Haven,_Florida)', 'Winter_Haven_station', 'Inwood,_Florida', 'Downtown_Winter_Haven_Historic_District', 'Lake_Pansy_(Winter_Haven,_Florida)', 'Lake_Jessie_(Winter_Haven,_Florida)', 'River_Lake_(Winter_Haven,_Florida)', 'Lake_Hart_(Winter_Haven,_Florida)']","['Winter_Haven,_Florida']","['Winter_Haven,_Florida']","['Winter_Haven,_Florida']","['Winter_Haven,_Florida']","['Winter_Haven,_Florida']"
2374,what is elizabeth couchman's gender?,['Elizabeth Couchman'],['Elizabeth_Couchman'],"['Elizabeth_Couchman', 'Nellie_Bly', 'List_of_minor_planets:_4001–5000', 'Robert_Seaman', 'Seán_Etchingham', 'Deirdre_Griswold', 'The_Perfect_Family_(film)', 'Bridge_in_Jefferson_Borough', 'Alexander_E._Fraser', 'Arthur_McNutt_Cochran']",[],[],[],['Nellie_Bly'],"['Elizabeth_Couchman', 'Gender']"
2375,whats the nationality of  patrick merla,['Patrick Merla'],['Patrick_Merla'],"['Patrick_Merla', '2010_United_States_House_of_Representatives_elections_in_Michigan', 'Pat_Mella', 'Wordplay_(film)', 'Paper_Rival', 'Mella_Carroll']",[],[],['Pat_Mella'],"['Mella_Carroll', 'Pat_Mella']",['Patrick_Merla']
2376,Where was olivia wilde born,['Olivia Wilde'],['Olivia_Wilde'],"['Olivia_Wilde', 'Olivia_Wilde_filmography', 'American_Dad!_(season_10)', 'The_Black_Donnellys', 'List_of_House_cast_members', 'Tron:_Legacy', 'House_(season_4)', 'Thirteen_(House)', 'Laura_Flanders', 'Alex_Kelly_(The_O.C.)']",['Olivia_Wilde'],['Olivia_Wilde'],['Olivia_Wilde'],['Olivia_Wilde'],['Olivia_Wilde']
2377,what country produced the film two orphan vampires,['Les deux orphelines vampires'],['Les_deux_orphelines_vampires'],['Les_deux_orphelines_vampires'],['Les_deux_orphelines_vampires'],['Les_deux_orphelines_vampires'],['Les_deux_orphelines_vampires'],['Les_deux_orphelines_vampires'],"['Orphan', 'Vampire']"
2378,vangelis georgiou plays what position,['Vangelis Georgiou'],['Vangelis_Georgiou'],"['Vangelis_Georgiou', 'Top_Cup_Tokai_Classic', 'Evangelos_Natsis', 'Station_Square_(Tbilisi_Metro)', 'MV_Panagia_Tinou_(1972)', 'Tlia', 'Vaneli']",['Vangelis_Georgiou'],['Vangelis_Georgiou'],['Vangelis_Georgiou'],['Vangelis_Georgiou'],['Vangelis_Georgiou']
2379,Who is an artist of indie rock?,['Indie rock'],['Indie_rock'],"['Indie_rock', 'Alternative_metal', 'Neo-psychedelia', 'Shoegazing', 'Alternative_country', 'Emo', 'Lo-fi_music', 'Disc_jockey', 'Mathcore', 'Australian_indie_rock']",['Indie_rock'],['Indie_rock'],['Indie_rock'],['Indie_rock'],['Indie_rock']
2380,Who produced south sea rose,['South Sea Rose'],['South_Sea_Rose'],"['University_of_Chicago', 'Italy', 'List_of_Australian_region_cyclones_before_1967', 'South_Sea_Rose', 'Parkland_County', 'Leeds_City_Credit_Union', 'List_of_Southern_Hemisphere_tropical_cyclone_seasons', 'Pink_Floyd_bootleg_recordings', 'Wimbledon_F.C.', 'Marie_Byrd_Land']",['South_Sea_Rose'],['South_Sea_Rose'],['South_Sea_Rose'],['South_Sea_Rose'],['South_Sea_Rose']
2381,Which nation is darren walker originally from?,['Darren Walker'],['Darren_Walker'],"['Seattle_Mariners_minor_league_players', 'Darren_Walker', 'Darren_Walker_(cricketer)', 'Darren_Waller', 'Channel_Awesome', 'Richard_Walther_Darré', 'Ewood_Park', '1990–91_Port_Vale_F.C._season', '1988–89_Port_Vale_F.C._season', '1987–88_Port_Vale_F.C._season']",['Darren_Walker'],['Darren_Walker'],['Darren_Walker'],['Darren_Walker'],['Darren_Walker']
2382,where was  nautica thorn born,['Nautica Thorn'],['Nautica_Thorn'],"['Amblydoras_nauticus', 'Mount_Thorne', 'Thorp_Ridges', 'Thern_Promontory', 'Mount_Goodale', 'Slack_water', 'Mount_Benkert']",['Amblydoras_nauticus'],['Amblydoras_nauticus'],['Amblydoras_nauticus'],['Amblydoras_nauticus'],['MS_Nautica']
2383,what is a game published by gt interactive,['GT Interactive Software'],['GT_Interactive_Software'],"['Atari,_Inc._(Atari_SA_subsidiary)', 'Quake_(video_game)', 'MacSoft', 'Heretic_(video_game)', 'Blood_(video_game)', 'Final_Doom', 'Myth_II:_Soulblighter', 'Chasm:_The_Rift', 'Hexen:_Beyond_Heretic', 'The_Wheel_of_Time_(video_game)']",['MacSoft'],['MacSoft'],['The_Wheel_of_Time_(video_game)'],['The_Wheel_of_Time_(video_game)'],"['Atari,_Inc._(Atari_SA_subsidiary)']"
2384,what's the name of a painter from aix-en-provence,['Aix-en-Provence'],['Aix-en-Provence'],"['Aix-en-Provence', 'Aix-Marseille_University', 'Roman_Catholic_Archdiocese_of_Aix', 'Aix-en-Provence_possessions', 'Aix-en-Provence_Festival', 'Sciences_Po_Aix', 'Aix-en-Provence_TGV_railway_station', 'Aix-en-Provence_Open', ""Pays_d'Aix_FC"", 'Timeline_of_Aix-en-Provence']",['Aix-en-Provence'],['Aix-en-Provence'],['Aix-en-Provence'],['Aix-en-Provence'],"['Painting', 'Aix-en-Provence']"
2385,What is tracy pratt's nationality,['Tracy Pratt'],['Tracy_Pratt'],"['Tracy_Pratt', 'List_of_Shortland_Street_characters', 'Babe_Pratt', 'William_T._Dwyer_High_School', 'Tracey_Thomson', 'Afrodisiac_(song)', 'Onward_(film)', 'Anjali_Forber-Pratt', 'Laughter_and_Tears_(1921_film)', 'Matheny,_California']",['Tracy_Pratt'],['Tracy_Pratt'],['Tracy_Pratt'],['Tracy_Pratt'],['Tracy_Pratt']
2386,What type of music does east 17 create,['East 17'],['East_17'],"['East_17', 'East_India_Company', 'Special_routes_of_U.S._Route_17', 'Ohio', '2016–17_Northern_Counties_East_Football_League', 'East_German_uprising_of_1953', 'Iran', 'Timor-Leste_national_under-16_football_team', '2016–17_East_Bengal_F.C._season', 'Around_the_World_(East_17_song)']",['East_17'],['East_17'],['East_17'],['East_17'],['East_17']
2387,What is the name of a album produce by the anthrax band?,['Anthrax (American band)'],['Anthrax_(American_band)'],"['Anthrax_(American_band)', 'Megadeth', 'Metallica', 'Slayer', 'Corey_Taylor', 'Nuclear_Assault', 'Rob_Caggiano', 'Joey_Belladonna', 'Frank_Bello', 'Persistence_of_Time']",['Anthrax_(American_band)'],['Anthrax_(American_band)'],['Anthrax_(American_band)'],['Anthrax_(American_band)'],['Anthrax']
2388,What type of album is wildside?,['Wildside (album)'],['Wildside_(album)'],"['Wildside_(album)', 'Wildfire_(Rachel_Platten_album)', 'Wildlife_(Anthony_Phillips_and_Joji_Hirota_album)', 'LIFE_Church_UK', 'Wildlife_(disambiguation)', 'Sbtrkt_(album)', 'Paradise_Valley_(album)', 'Confident_(album)', 'Astoria_(Marianas_Trench_album)', 'Wildlife_(Mott_the_Hoople_album)']",['Wildside_(album)'],['Wildside_(album)'],['Wildside_(album)'],['Wildside_(album)'],[]
2389,What is the sex of david swift?,['David Swift (actor)'],['David_Swift_(actor)'],"['David_Swift_(actor)', 'Pigmeat_Markham', 'Jeremy_Swift', 'David_McGillivray_(screenwriter)', 'Sweet_Revenge_(British_TV_series)', 'Norby_(TV_series)', 'Eddie_Cooper_(actor)', ""Today's_Special_(film)"", 'Khatta_Meetha_(1978_film)']",['David_Swift_(actor)'],['David_Swift_(actor)'],['David_Swift_(actor)'],['David_Swift_(actor)'],"['David', 'Swift']"
2390,What is the sex of gary sullivan,['Gary Sullivan (engineer)'],['Gary_Sullivan_(engineer)'],"['Gary_Sullivan_(engineer)', 'Thomas_Wiegand']",['Gary_Sullivan_(engineer)'],['Gary_Sullivan_(engineer)'],['Gary_Sullivan_(engineer)'],['Gary_Sullivan_(engineer)'],['Gary_Sullivan_(radio_host)']
2391,what kind type of video game is road runner,['Road Runner (video game)'],['Road_Runner_(video_game)'],"['Road_Runner_(video_game)', ""Road_Runner's_Death_Valley_Rally"", 'Looney_Tunes_(video_game)', 'Desert_Demolition']",['Road_Runner_(video_game)'],['Road_Runner_(video_game)'],['Road_Runner_(video_game)'],['Road_Runner_(video_game)'],"['Video_game', 'Road_running']"
2392,what language is used in the house of 72 tenants,['The House of 72 Tenants'],['The_House_of_72_Tenants'],"['The_House_of_72_Tenants', '72_Tenants_of_Prosperity', 'Piety_Street_Recording', 'Rufus_Lamson_House']",['The_House_of_72_Tenants'],['The_House_of_72_Tenants'],['The_House_of_72_Tenants'],['The_House_of_72_Tenants'],['Language']
