,question,entities,MuHeQA_FLERT
2891,where did napoleon zervas die,['Napoleon Zervas'],['napoleon zervas']
2892,which country is the movie thalaimagan from,['Thalaimagan'],['country']
2893,which country is jim griffiths from,['Jim Griffiths'],['jim griffiths']
2894,what language is secret sunshine in,['Secret Sunshine'],['language']
2895,what types of music is the maze,['The Maze'],"['music', 'maze']"
2896,Shannon Lee was an executive producer for which film?,['Shannon Lee'],['Shannon Lee']
2897,Name a person who was born in monterrey,['Monterrey'],['monterrey']
2898,which albums were released by marduk (band)?,['Marduk'],['marduk']
2899,austin lane crothers died in this city and state.,['Austin Lane Crothers'],"['austin lane crothers', 'city and state']"
2900,which football position does tiko as?,['Tiko'],['tiko']
2901,where was james soong born ,['James Soong'],['james soong']
2902,Which film was directed by elia kazan,['Elia Kazan'],['elia kazan']
2903,Where was cement filmed?,['Cement'],['cement']
2904,what gender does henry n. cobb identify as ,['Henry N. Cobb'],['henry n. cobb']
2905,Who is the goalkeeper for the Bo'ness United football team?,['goalkeeper'],"[""Bo'ness United""]"
2906,What is danny hoffman's job,['Danny Hoffman'],['danny hoffman']
2907,which country is christian edward elder from ,['Christian Edward Elder'],['country']
2908,Where was hedy fry born? ,['Hedy Fry'],['hedy fry']
2909,what position in football does chad kilgore play,['Chad Kilgore'],['chad kilgore']
2910,Who was born in innsbruck?,['Innsbruck'],['innsbruck']
2911,where was  joseph w. mcmurrin born,['Joseph W. McMurrin'],['joseph w. mcmurrin']
2912,which basketball player is from bulgaria,['basketball player'],['bulgaria']
2913,which pitcher died of a car accident?,['traffic collision'],"['pitcher', 'car accident']"
2914,Which nationality is allen newell,['Allen Newell'],['allen newell']
2915,who was born in louisville,['Louisville'],['louisville']
2916,Which type of asteroid group is 13268 trevorcorbin present in,['13268 Trevorcorbin'],['asteroid group']
2917,What is the gender of jim lash?,['Jim Lash'],['jim lash']
2918,What's an album recorded by robert plant,['Robert Plant'],['robert plant']
2919,what american football position does antwan barnes play,['Antwan Barnes'],"['american football position', 'antwan barnes']"
2920,What is a film in the musical film genre,['musical film'],['musical film genre']
2921,What was anna karenina adapted into?,['Anna Karenina'],['anna karenina']
2922,what ethnicity is megumi makihara,['Megumi Makihara'],['megumi makihara']
2923,8397 chiakitanaka is a part of what asteroid group?,['8397 Chiakitanaka'],"['8397 chiakitanaka', 'asteroid group']"
2924,"what is the name of someone born in denver, colorado",['Denver'],"['denver', 'colorado']"
2925,Where did derek hall pass away,['Derek Hall'],['derek hall']
2926,what musical genre is the album  the golden age of grotesque,['The Golden Age of Grotesque'],"['musical genre', 'album']"
2927,Who created the fictional character carlie cooper,['Carlie Cooper'],['fictional character carlie cooper']
2928,Name a tv program created by eric kripke,['Eric Kripke'],['eric kripke']
2929,Where was vicente martinez ybor born,['Vicente Martinez Ybor'],['vicente martinez ybor']
2930,which pixar film did jonathan roberts write,['Jonathan Roberts'],['jonathan roberts']
2931,What gender is angel g. luévano?,['Angel G. Luévano'],['angel g. luévano']
2932,which city was marco marinangeli born in,['Marco Marinangeli'],['marco marinangeli']
2933,Which language is the film non son degno di te in,['Non son degno di te'],"['language', 'film', 'son']"
2934,which film was written by joe carnahan ,['Joe Carnahan'],['joe carnahan']
2935,What country is kasautii zindagii kay broadcast to,['Kasautii Zindagii Kay'],['country']
2936,nguyễn văn kiệt received the navy cross for what war?,['Nguyễn Văn Kiệt'],['nguyễn văn kiệt']
2937,Where is clarence m. condon originally from?,['Clarence M. Condon'],"['clarence', 'condon']"
2938,who produced the lord of the rings: the return of the king,['The Lord of the Rings: The Return of the King'],"['rings', 'king']"
2939,what position does mitch talbot play?,['Mitch Talbot'],['mitch talbot']
2940,What language do the characters use in marie galante,['Marie Galante'],['marie galante']
2941,in which country was the night of the generals filmed,['The Night of the Generals'],"['country', 'generals']"
2942,What label signed the artist gregg allman,['Gregg Allman'],['artist gregg allman']
2943,what city was kurt stöpel born in,['Kurt Stöpel'],['kurt stöpel']
2944,who produced stay hungry,['Stay Hungry'],[]
2945,what is a fighting game game by Konami Computer Entertainment?,['fighting game'],['Konami Computer Entertainment']
2946,What language is aruvadai naal in?,['Aruvadai Naal'],['language']
2947,who is an actor?,['actor'],['actor']
2948,Which city did aimar-charles-marie de nicolaï die in?,['Aimar-Charles-Marie de Nicolaï'],['aimar-charles-marie de nicolaï']
2949,What is an event that occurred at the metropolitan manila,['Metro Manila'],['metropolitan manila']
2950,which country is bernd hollerbach from,['Bernd Hollerbach'],['bernd hollerbach']
2951,What type of music genre is Boi Akih?,['Boi Akih'],['Boi Akih']
2952,who directed doctor dolittle,['Doctor Dolittle'],['doctor dolittle']
2953,what country is rickybellakaslick from,['Ricky Bell'],['rickybellakaslick']
2954,what italian city was the place of birth of prince maurice of savoy,['Prince Maurice of Savoy'],"['maurice of savoy', 'italian city']"
2955,What genre is undercover?,['Undercover'],['genre']
2956,"What country was leopold i, prince of lippe from?","['Leopold I, Prince of Lippe']","['lippe', 'leopold i']"
2957,what city did gustav lechner die in,['Gustav Lechner'],['gustav lechner']
2958,what country is princess minerva filmed in ,['Princess Minerva'],['princess minerva']
2959,what genre is appointment with danger?,['Appointment with Danger'],"['genre', 'danger']"
2960,Name a forward that plays for the Zambian soccer team,['forward'],['Zambian']
2961,What country was bomber harris flimed in ,['Bomber Harris'],['bomber harris']
2962,What is the country of origin for the film hanzo the razor: sword of justice?,['Hanzo the Razor'],['hanzo the razor : sword of justice']
2963,This British Indian musician contributed the music for the film midnights children.,"[""Midnight's Children""]",['British Indian']
2964,where in california was jeff robinson born,['Jeff Robinson'],"['jeff robinson', 'california']"
2965,what baseball position does dave revering play,['Dave Revering'],['dave']
2966,what is the second level division of envira?,['Envira'],['envira']
2967,what is ben moses's nationality?,['Ben Moses'],['ben moses']
2968,is soongava: dance of the orchids a romance film or comedy,['Soongava: Dance of the Orchids'],['soongava : dance of the orchids']
2969,who was lethal weapon edited by,['Lethal Weapon'],['lethal weapon']
2970,Where did reiko sato die?,['Reiko Sato'],['reiko sato']
2971,what film did pete dexter assist in the writing of,['Pete Dexter'],['pete dexter']
2972,where did the japanese occupation of attu take place ,['Japanese occupation of Attu'],"['attu', 'japanese']"
2973,where in the united states did charles n. orr die?,['Charles N. Orr'],"['united states', 'charles n. orr']"
2974,where was wim deetman born,['Wim Deetman'],['wim deetman']
2975,what gender is franklin hansen?,['Franklin Hansen'],['franklin hansen']
2976,what type of film is el madina?,['El Madina'],['el madina']
2977,who is the artist that created animal serenade,['Animal Serenade'],"['artist', 'animal serenade']"
2978,what is the country of origin of the crusader,['Crusader'],['crusader']
2979,what instrument does kai eckhardt play,['Kai Eckhardt'],['kai eckhardt']
2980,what is jim gilmore's gender,['Jim Gilmore'],['jim gilmore']
2981,what country is slightly dangerous filmed in ,['Slightly Dangerous'],['country']
2982,What kind of celestial object is 4625 shchedrin?,['4625 Shchedrin'],"['celestial object', '4625 shchedrin']"
2983,what is the nationality of andrew pattison?,['Andrew Pattison'],['andrew pattison']
2984,"who in the world directed luke, patient provider",['Luke'],"['world', 'luke', 'patient provider']"
2985,who is an artist that released an album called the wayward sons of mother earth,['The Wayward Sons of Mother Earth'],['the wayward sons of mother earth']
2986,what was the cause of ludovic kennedy's death,['Ludovic Kennedy'],['ludovic kennedy']
2987,where in italy was maurizio prollo born,['Maurizio Prollo'],"['maurizio prollo', 'italy']"
2988,What position does yevgeni kharlachyov play,['Yevgeni Kharlachyov'],['yevgeni kharlachyov']
2989,What is the gender of maurice capovila?,['Maurice Capovila'],['maurice capovila']
2990,whats an administrative division of  kuwait,['Kuwait'],['kuwait']
2991,what genre is the album act iii: life and death,['Act III: Life and Death'],"['genre', 'album act iii', 'life and death']"
2992,whats paul cuffees race,['Paul Cuffe'],['paul cuffees']
2993,what athlete was born in cluj-napoca,['Cluj-Napoca'],['cluj-napoca']
2994,who was born in berlin?,['Berlin'],['berlin']
2995,What's pang qing's gender?,['Pang Qing'],"['pang qing', 'gender']"
2996,Who was the director for the film nevada?,['Nevada'],['film nevada']
2997,what language was swandown filmed in,['Swandown'],"['language', 'swandown']"
2998,what genre of film is everybodys doing it,"[""Everybody's Doing It""]","['film', 'everybodys']"
2999,what language is on negro colleges in war time,['Negro Colleges in War Time'],"['language', 'war time']"
3000,who directed kindred of the dust,['Kindred of the Dust'],['dust']
3001,where was havana ginger born,['Havana Ginger'],['havana ginger']
3002,Who is mako (actor)'s mother,['Mako'],['mako']
3003,what is jean claude eugène péclet's country of nationality?,['Jean Claude Eugène Péclet'],['jean claude eugène péclet']
3004,Which country doe sjohn ordronaux have nationality in,['John Ordronaux'],['sjohn ordronaux']
3005,Where was maría del puy born,['María del Puy'],['maría del puy']
3006,What gender is paul gérin-lajoie,['Paul Gérin-Lajoie'],['paul gérin-lajoie']
3007,Where was ole olsen born?,['Ole Olsen'],['ole olsen']
3008,what country is first love filmed in,['-'],"['country', 'first love']"
3009,Which country did søren rode have nationality,['Søren Rode'],['søren rode']
3010,what is  1145 robelmonte category,['1145 Robelmonte'],['1145 robelmonte category']
3011,where is 10812 grötlingbo located ,['10812 Grötlingbo'],['10812 grotlingbo']
3012,what film did hal roach produce?,['Hal Roach'],['hal roach']
3013,what position is iván nova charge of,['Iván Nova'],['iván nova']
3014,"which county locates orange city, florida",['Orange City'],"['florida', 'orange city']"
3015,Where was martin roth born,['Martin Roth'],['martin roth']
3016,what's one of sting's albums?,['Sting'],['sting']
3017,where is maurice tempelsman from,['Maurice Tempelsman'],['maurice tempelsman']
3018,where was eleonor magdalene of neuburg born,['Eleonor Magdalene of Neuburg'],"['eleonor magdalene', 'neuburg']"
3019,where did swatow operation take place,['Swatow Operation'],"['swatow operation', 'place']"
3020,which city did anna dostoyevskaya die,['Anna Dostoyevskaya'],['anna dostoyevskaya']
3021,Where in france did yves giraud-cabantous die,['Yves Giraud-Cabantous'],"['france', 'yves giraud-cabantous die']"
3022,what gender could marjan mozetich be,['Marjan Mozetich'],['marjan mozetich']
3023,What type of film genre is young cassidy,['Young Cassidy'],"['film genre', 'young cassidy']"
3024,what nation is deborah reber from,['Deborah Reber'],['deborah reber']
3025,what is the redback spider classified as?,['Redback spider'],['redback spider']
3026,What is the profession of ravi babu?,['Ravi Babu'],['ravi babu']
3027,which gender is gareth evans,['Gareth Evans'],['gareth evans']
3028,Who authored punishment park,['Punishment Park'],['punishment park']
3029,What genre is the ragpickers dream apart of?,"[""The Ragpicker's Dream""]","['genre', 'ragpickers']"
3030,What band has solace as their second album?,['Solace'],"['band', 'second album']"
3031,Which historical film did jordi savall provided music for?,['Jordi Savall'],['jordi savall']
