"Question";"First 3 Words";"Last 3 Words"
"Name the mountain whose range is Sierra Nevada (U.S.) and parent mountain peak is Nevado de Toluca?";"Name the mountain";" Nevado de Toluca?"
"Name the city with leader as Esther Alder and neighboring municipality as Pregny-Chambsy?";"Name the city";" municipality as Pregny-Chambsy?"
"What is the sea whose cities are Gdansk and Oulu?";"What is the";" Gdansk and Oulu?"
"List sports managers who managed Middlesbrough F.C. and England national under-21 football team?";"List sports managers";" under-21 football team?"
"Who offers the services of OneDrive and Outlook.com?";"Who offers the";" OneDrive and Outlook.com?"
"Through how many labels has Katy B released her singles?";"Through how many";" released her singles?"
"Who is the owner of the FC which owns the Cobham Training Centre?";"Who is the";" Cobham Training Centre?"
"What basketball league's champion is Golden State Warriors?";"What basketball league's";" Golden State Warriors?"
"List the destinations of the airlines which also serves Mediterranean Sea?";"List the destinations";" serves Mediterranean Sea?"
"What is the subject of The Prodigal son ?";"What is the";" Prodigal son ?"
"How many groups have fought in wars where Richard Taylor fought too?";"How many groups";" Taylor fought too?"
"Which religions are practiced in India?";"Which religions are";" practiced in India?"
"List the sports played in private universities.";"List the sports";" in private universities."
"What religion do the politicians follow, who graduated from the Yokkohama Nationaal University?";"What religion do";" Yokkohama Nationaal University?"
"Who is the owner of the South end?";"Who is the";" the South end?"
"List the authors of the musicals whose songwriter is Richard M. Sherman.";"List the authors";" Richard M. Sherman."
"Is Eddie Bravo the trainer of Shinya Aoki?";"Is Eddie Bravo";" of Shinya Aoki?"
"How many utopian and dystopian fiction books are there?";"How many utopian";" books are there?"
"What are the american football players whose former team's coach is Jason Maas?";"What are the";" is Jason Maas?"
"List all the presidents of the schools which had atleast one of the president as Queen Noor of Jordan ?";"List all the";" of Jordan ?"
"To how many places does the airlines fly, whose head office is located at the Gatwick Airport?";"To how many";" the Gatwick Airport?"
"What are the non-fiction topics in the books whose authors is Terry Pratchett?";"What are the";" is Terry Pratchett?"
"Name the common home port of the Trishna (yacht) and INS Viraat (R22)?";"Name the common";" INS Viraat (R22)?"
"List education institute of the engineers whose alma mater is ChristChurch ?";"List education institute";" is ChristChurch ?"
"Where was the movie after Khiladi 786 recorded?";"Where was the";" Khiladi 786 recorded?"
"How many awards have the french people received?";"How many awards";" french people received?"
"How many important works have been done by Russel Davies?";"How many important";" by Russel Davies?"
"Which coach of Marquette Golden Eagles men's basketball team is also the head coach of Virginia Tech Hokies men's basketball team ?";"Which coach of";" basketball team ?"
"Give me some shows owned by BBC one and BBC hd?";"Give me some";" and BBC hd?"
"Name the movie whose director of photography is Gregg Toland and Bernard Herrmann was the music composer?";"Name the movie";" the music composer?"
"Was the Funky Lab Rat released in North America?";"Was the Funky";" in North America?"
"In which state is Red Willow Creek?";"In which state";" Red Willow Creek?"
"Did Carolyn Heinrich study at the Vanderbilt?";"Did Carolyn Heinrich";" at the Vanderbilt?"
"Name some local authorities of schools which have a mixed gender education system?";"Name some local";" gender education system?"
"Name the mountain range in which the mountain peak of Malatraix belongs?";"Name the mountain";" of Malatraix belongs?"
"Name the office holder who has a child named lori Black and Harvard Westlake school as one of the educational institute ?";"Name the office";" educational institute ?"
"Which american football players currently plays for Michigan Wolverines?";"Which american football";" for Michigan Wolverines?"
"In which state do darren brass and belvin perry live?";"In which state";" belvin perry live?"
"Who owns Ivanpah Solar Power Facility?";"Who owns Ivanpah";" Solar Power Facility?"
"The Information: A History, a Theory, a Flood is a work of Isaac Newton?";"The Information: A";" of Isaac Newton?"
"Who built the stadium which was rented by Costa Rica national football team?";"Who built the";" national football team?"
"Which producer of Boeing F/A-18E/F Super Hornet has a key person Dennis Muilenburg?";"Which producer of";" person Dennis Muilenburg?"
"What does the famous relative of Levon Ashotovich Grigorian do for a living?";"What does the";" for a living?"
"What is the river with mouth in Southend-on-Sea?";"What is the";" mouth in Southend-on-Sea?"
"Who are the astronauts associated with NASA?";"Who are the";" associated with NASA?"
"List the alma mater of the person who is wedded to Sissela Bok.";"List the alma";" to Sissela Bok."
"Whose album is Haiti, I am sorry?";"Whose album is";" I am sorry?"
"Which writer has childrens named Mother Mary Alphonsa and Julian Hawthorne?";"Which writer has";" and Julian Hawthorne?"
"Where is Hafthor Julius Bjornsson from?";"Where is Hafthor";" Julius Bjornsson from?"
"Who are the relatives of the character after which Quagmire's Quagmire was made?";"Who are the";" Quagmire was made?"
"How many races has Best Mate won?";"How many races";" Best Mate won?"
"In which timezone does Khok Kwang lie?";"In which timezone";" Khok Kwang lie?"
"Where is the team of Abdel Boucker located ?";"Where is the";" Boucker located ?"
"What is the area of the Tar Heel Sports Network which is official residence of Michael Nichols (photographer)?";"What is the";" Michael Nichols (photographer)?"
"Which players participate in the football seasons headed by Patricia Amorim?";"Which players participate";" by Patricia Amorim?"
"In which company's boards does the founder of Bomis sit?";"In which company's";" of Bomis sit?"
"List all the former partners of the figure skater whose one of the former partner was Andrea poapst ?";"List all the";" Andrea poapst ?"
"Name few companies where don berlin and michael sears have worked together?";"Name few companies";" have worked together?"
"From where does the river start, which flows into the Conowingo dam?";"From where does";" the Conowingo dam?"
"Which river originate from limerick?";"Which river originate";" originate from limerick?"
"Does Caroline Augusta Foley Rhys Davids study Buddhism?";"Does Caroline Augusta";" Davids study Buddhism?"
"In how many places did Julian Leow Beng Kim study?";"In how many";" Beng Kim study?"
"Is Compaq a software company?";"Is Compaq a";" a software company?"
"What are some party leaders of the parties which have had a seat in Berlin?";"What are some";" seat in Berlin?"
"Who develops the computation platform of Microsoft Expression Encoder?";"Who develops the";" Microsoft Expression Encoder?"
"Was Liliya Lobanova born in Ukraine?";"Was Liliya Lobanova";" born in Ukraine?"
"Where was Special 26 recorded ?";"Where was Special";" 26 recorded ?"
"Name the office holders whose successor died in Morristown, New Jersey?";"Name the office";" Morristown, New Jersey?"
"Count the territories of the wars where the QF Hotchkiss was used.";"Count the territories";" Hotchkiss was used."
"What is written in a programming language developed by GNOME Project?";"What is written";" by GNOME Project?"
"What is the state of origin of Abbas Jafri ?";"What is the";" Abbas Jafri ?"
"What religion did Gamini Seneviratne follow?";"What religion did";" Gamini Seneviratne follow?"
"What is the Nickname of Daniel O'Regan?";"What is the";" of Daniel O'Regan?"
"Who is the vice president of Jared Bernstein ?";"Who is the";" Jared Bernstein ?"
"Name the members of boards of Freedom of the City and Trinity House?";"Name the members";" and Trinity House?"
"Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?";"Name the common";" Islamic Azad University?"
"What subjects does the subsequent work of The Dragons of Eden deals with?";"What subjects does";" Eden deals with?"
"Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?";"Which ceremonial County";" High School ?"
"Name the office holder whose Governor is Charles Willing Byrd and has resting place as North Bend, Ohio?";"Name the office";" North Bend, Ohio?"
"How many bands collaborated with artists who signed up with EMI?";"How many bands";" up with EMI?"
"List the interest of the scientists whose one of the field is Chinese poetry ?";"List the interest";" Chinese poetry ?"
"Is Roger Federer the flagbearer of Switzerland at the 2004 Summer Olympics?";"Is Roger Federer";" 2004 Summer Olympics?"
"What is the leader name of the settlements whose governing body is Municipal council?";"What is the";" is Municipal council?"
"What is the common licence of the Frontaccounting and nUbuntu?";"What is the";" Frontaccounting and nUbuntu?"
"Which university of Alexandre Tichonov is the place of death of Valentin Muratov?";"Which university of";" of Valentin Muratov?"
"In which city was the film star of Singhasan Battisi born ?";"In which city";" Battisi born ?"
"Where is the constituency of John Smith Griffin ?";"Where is the";" Smith Griffin ?"
"What is the purpose of some Maharashtran organizations?";"What is the";" some Maharashtran organizations?"
"What is the local authority of the Trinity School, Brentwood and place of birth of the Sarah Walker (badminton) ?";"What is the";" Walker (badminton) ?"
"Is facebook a public company?";"Is facebook a";" a public company?"
"What are the common houses o US Congress and the Kansas Legislature?";"What are the";" the Kansas Legislature?"
"Through how many cities does the river flowing into Arkansas go?";"Through how many";" into Arkansas go?"
"Was Reza Amrollahi born in Iran?";"Was Reza Amrollahi";" born in Iran?"
"Which TV show's setting is in Massachusetts and is the subsequent work of Fraiser ?";"Which TV show's";" of Fraiser ?"
